File,Result,Variables,Clauses,Time(seconds),Memory(kB)
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w28.cnf,SATISFIABLE,567114,2304815,4.18,2710640
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w29.cnf,SATISFIABLE,559704,2275083,4.39,2837264
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w30.cnf,SATISFIABLE,565632,2296451,6.91,2893072
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w31.cnf,SATISFIABLE,556246,2260791,4.06,2674000
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w32.cnf,SATISFIABLE,561680,2280183,4.34,2742108
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w33.cnf,SATISFIABLE,550812,2238595,3.98,2723356
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w34.cnf,SATISFIABLE,555752,2256011,7.56,2781064
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w35.cnf,SATISFIABLE,560692,2273427,4.44,2714092
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w36.cnf,SATISFIABLE,547848,2223935,4.20,2603772
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w37.cnf,SATISFIABLE,552294,2239375,4.09,2609928
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w38.cnf,SATISFIABLE,556740,2254815,5.95,2785456
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w39.cnf,SATISFIABLE,561186,2270255,3.99,2637476
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w40.cnf,SATISFIABLE,545872,2210883,6.15,3043872
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w41.cnf,SATISFIABLE,549824,2224347,7.15,3098808
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w42.cnf,SATISFIABLE,553776,2237811,4.02,2939052
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w43.cnf,SATISFIABLE,557728,2251275,6.93,3078344
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w44.cnf,SATISFIABLE,540438,2182023,3.99,2795152
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w45.cnf,SATISFIABLE,543896,2193511,4.00,2948452
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w46.cnf,SATISFIABLE,547354,2204999,4.20,2915444
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w47.cnf,SATISFIABLE,550812,2216487,4.43,3106636
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w48.cnf,SATISFIABLE,554270,2227975,7.93,3104164
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w49.cnf,SATISFIABLE,557728,2239463,3.96,2849760
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w50.cnf,SATISFIABLE,536980,2156379,3.56,2809468
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w51.cnf,SATISFIABLE,539944,2165891,4.06,2840736
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w52.cnf,SATISFIABLE,542908,2175403,4.02,2975548
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w53.cnf,SATISFIABLE,545872,2184915,3.76,2787556
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w54.cnf,SATISFIABLE,548836,2194427,4.41,2908064
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w55.cnf,SATISFIABLE,551800,2203939,4.04,2890540
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w56.cnf,SATISFIABLE,554764,2213451,7.30,2908120
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w57.cnf,SATISFIABLE,529570,2114559,3.72,2857088
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w58.cnf,SATISFIABLE,532040,2122095,3.80,3064984
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w59.cnf,SATISFIABLE,534510,2129631,5.52,3136348
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w60.cnf,SATISFIABLE,536980,2137167,3.96,2858056
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w61.cnf,SATISFIABLE,539450,2144703,4.15,2860304
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w62.cnf,SATISFIABLE,541920,2152239,3.75,2798984
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w63.cnf,SATISFIABLE,544390,2159775,4.08,2734204
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w64.cnf,SATISFIABLE,546860,2167311,7.91,3028856
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w65.cnf,SATISFIABLE,549330,2174847,4.19,3084108
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w66.cnf,SATISFIABLE,519196,2056195,3.64,2694500
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w67.cnf,SATISFIABLE,521172,2061755,3.99,2833420
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w68.cnf,SATISFIABLE,523148,2067315,3.65,2671152
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w69.cnf,SATISFIABLE,525124,2072875,3.67,2767916
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w70.cnf,SATISFIABLE,527100,2078435,5.16,2863536
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w71.cnf,SATISFIABLE,529076,2083995,3.76,2690864
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w72.cnf,SATISFIABLE,531052,2089555,6.85,2777892
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w73.cnf,SATISFIABLE,533028,2095115,3.55,2703632
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w74.cnf,SATISFIABLE,535004,2100675,3.76,2780352
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w75.cnf,SATISFIABLE,536980,2106235,3.75,2846048
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w76.cnf,SATISFIABLE,538956,2111795,5.17,3104200
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w77.cnf,SATISFIABLE,540932,2117355,4.17,2860204
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w78.cnf,SATISFIABLE,542908,2122915,3.82,2934068
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w79.cnf,SATISFIABLE,506352,1974841,8.16,2842944
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w80.cnf,SATISFIABLE,507834,1980183,3.55,2634720
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w81.cnf,SATISFIABLE,509316,1983767,3.66,2680952
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w82.cnf,SATISFIABLE,510798,1987351,3.53,2691608
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w83.cnf,SATISFIABLE,512280,1990935,3.28,2577776
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w84.cnf,SATISFIABLE,513762,1994519,4.01,2872116
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w85.cnf,SATISFIABLE,515244,1998103,3.30,2668776
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w86.cnf,SATISFIABLE,516726,2001687,3.59,2738592
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w87.cnf,SATISFIABLE,518208,2005271,3.54,2589328
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w88.cnf,SATISFIABLE,519690,2008855,6.45,2667196
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w89.cnf,SATISFIABLE,521172,2012439,3.61,2689484
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w90.cnf,SATISFIABLE,522654,2016023,3.70,2789356
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w91.cnf,SATISFIABLE,524136,2019607,3.58,2637428
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w92.cnf,SATISFIABLE,525618,2023191,3.78,2590564
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w93.cnf,SATISFIABLE,527100,2026775,3.56,2651732
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w94.cnf,SATISFIABLE,528582,2030359,3.47,2725264
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w95.cnf,SATISFIABLE,530064,2033943,3.58,2704680
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w96.cnf,SATISFIABLE,531546,2037527,3.43,2708660
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w97.cnf,SATISFIABLE,533028,2041111,6.45,2748608
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w98.cnf,SATISFIABLE,534510,2044695,3.63,2784044
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w99.cnf,SATISFIABLE,487085,1856883,16.23,3023456
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w100.cnf,SATISFIABLE,488073,1858491,3.23,2291636
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w101.cnf,SATISFIABLE,489061,1860099,3.26,2309124
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w102.cnf,SATISFIABLE,490049,1861707,2.98,2390364
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w103.cnf,SATISFIABLE,491037,1863315,6.42,2401320
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w104.cnf,SATISFIABLE,492025,1864923,3.42,2299572
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w105.cnf,SATISFIABLE,493013,1866531,4.28,2575796
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w106.cnf,SATISFIABLE,494001,1868139,2.79,2169300
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w107.cnf,SATISFIABLE,494989,1869747,3.13,2431056
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w108.cnf,SATISFIABLE,495977,1871355,3.04,2378392
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w109.cnf,SATISFIABLE,496965,1872963,3.15,2347528
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w110.cnf,SATISFIABLE,497953,1874571,3.04,2243056
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w111.cnf,SATISFIABLE,498941,1876179,2.88,2247456
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w112.cnf,SATISFIABLE,499929,1877787,3.54,2450204
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w113.cnf,SATISFIABLE,500917,1879395,14.40,2841552
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w114.cnf,SATISFIABLE,501905,1881003,3.29,2413124
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w115.cnf,SATISFIABLE,502893,1882611,10.03,2847984
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w116.cnf,SATISFIABLE,503881,1884219,3.36,2381608
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w117.cnf,SATISFIABLE,504869,1885827,12.69,2840812
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w118.cnf,SATISFIABLE,505857,1887435,3.01,2424928
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w119.cnf,SATISFIABLE,506845,1889043,8.56,2913416
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w120.cnf,SATISFIABLE,507833,1890651,3.16,2402592
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w121.cnf,SATISFIABLE,508821,1892259,3.33,2444632
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w122.cnf,SATISFIABLE,509809,1893867,6.18,2719016
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w123.cnf,SATISFIABLE,510797,1895475,3.28,2456916
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w124.cnf,SATISFIABLE,511785,1897083,11.40,2936060
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w125.cnf,SATISFIABLE,512773,1898691,21.90,3341856
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w126.cnf,SATISFIABLE,513761,1900299,20.48,3017256
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w127.cnf,SATISFIABLE,514749,1901907,3.29,2344988
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w128.cnf,SATISFIABLE,515737,1903515,34.22,3355836
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w129.cnf,SATISFIABLE,516725,1905123,3.69,2584304
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w130.cnf,SATISFIABLE,517713,1906731,3.43,2567192
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w131.cnf,SATISFIABLE,518701,1908339,3.40,2541400
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w132.cnf,SATISFIABLE,454975,1653343,10.79,2574412
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w133.cnf,SATISFIABLE,455469,1652975,2.61,1981288
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w134.cnf,SATISFIABLE,455963,1652607,2.83,1994308
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w135.cnf,SATISFIABLE,456457,1652239,3.32,2038456
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w136.cnf,SATISFIABLE,456951,1651871,3.09,1977972
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w137.cnf,SATISFIABLE,457445,1651503,4.01,2276628
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w138.cnf,SATISFIABLE,457939,1651135,2.76,2162980
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w139.cnf,SATISFIABLE,458433,1650767,17.90,2651576
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w140.cnf,SATISFIABLE,458927,1650399,6.29,2541304
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w141.cnf,SATISFIABLE,459421,1650031,3.34,2066200
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w142.cnf,SATISFIABLE,459915,1649663,8.49,2484076
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w143.cnf,SATISFIABLE,460409,1649295,5.01,2132380
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w144.cnf,SATISFIABLE,460903,1648927,17.27,2630616
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w145.cnf,SATISFIABLE,461397,1648559,8.71,2508300
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w146.cnf,SATISFIABLE,461891,1648191,11.87,2564112
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w147.cnf,SATISFIABLE,462385,1647823,52.89,3014140
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w148.cnf,SATISFIABLE,462879,1647455,12.28,2706464
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w149.cnf,SATISFIABLE,463373,1647087,4.81,2235940
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w150.cnf,SATISFIABLE,463867,1646719,68.35,3144704
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w151.cnf,SATISFIABLE,464361,1646351,19.25,2614176
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w152.cnf,SATISFIABLE,464855,1645983,55.97,3073196
