File,Result,Variables,Clauses,Time(seconds),Memory(kB)
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w2.cnf,SATISFIABLE,509316,1593023,4.37,2024700
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w3.cnf,SATISFIABLE,536980,1889487,5.11,2296788
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w4.cnf,SATISFIABLE,550812,2036053,3.76,2414440
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w5.cnf,SATISFIABLE,551306,2127379,2.26,2350892
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w6.cnf,SATISFIABLE,556740,2182251,5.60,2613020
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w7.cnf,SATISFIABLE,561186,2220429,9.22,2546040
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w8.cnf,SATISFIABLE,563656,2245705,4.37,2569452
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w9.cnf,SATISFIABLE,563162,2256379,6.66,2702080
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w10.cnf,SATISFIABLE,565632,2273911,4.33,2624152
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w11.cnf,SATISFIABLE,564150,2275635,4.54,2674912
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w12.cnf,SATISFIABLE,564644,2283505,4.51,2631288
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w13.cnf,SATISFIABLE,569584,2298015,4.72,2725496
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w14.cnf,SATISFIABLE,571066,2306103,7.77,2759076
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w15.cnf,SATISFIABLE,570572,2306287,5.06,2761328
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w16.cnf,SATISFIABLE,567608,2298567,4.67,2783980
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w17.cnf,SATISFIABLE,570572,2312307,4.20,2741300
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w18.cnf,SATISFIABLE,563656,2290755,4.35,2686728
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w19.cnf,SATISFIABLE,564150,2294615,5.76,2848664
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w20.cnf,SATISFIABLE,563656,2294523,7.48,2739300
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w21.cnf,SATISFIABLE,562174,2290479,4.73,2855168
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w22.cnf,SATISFIABLE,559704,2282483,4.06,2763456
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w23.cnf,SATISFIABLE,567608,2311755,4.59,2772100
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w24.cnf,SATISFIABLE,564150,2297831,4.75,2921496
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w25.cnf,SATISFIABLE,559704,2279955,4.06,2732820
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w26.cnf,SATISFIABLE,566620,2305275,4.89,2774808
cnf/494_bus.mtx.rnd_n494_k395/494_bus.mtx.rnd_n494_k395_w27.cnf,SATISFIABLE,560692,2281471,8.76,2984348
